text,page,path,bounds,font_size
100'000,7,//Document/Table[9]/TR[20]/TD[2]/P,"[89.27999877929688, 201.5, 118.03659057617188, 208.98800659179688]",8.0
CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE,7,//Document/Table[9]/TR[20]/TD[3]/P,"[121.19999694824219, 191.5800018310547, 304.16786193847656, 218.4600067138672]",8.0
ISIN: XS2761230684 II Valorn.: 112288215,7,//Document/Table[9]/TR[20]/TD[3]/P[2],"[121.67999267578125, 192.80470275878906, 272.3600616455078, 200.3560028076172]",8.0
Zero Bonds II Maturity: 13.02.2030,7,//Document/Table[9]/TR[20]/TD[3]/P[3],"[121.19999694824219, 184.03599548339844, 244.48501586914062, 191.58399963378906]",8.0
Coupon: 13.2 II Annual 2% II Days: 107 II YTM: 6.87,7,//Document/Table[9]/TR[20]/TD[3]/P[4],"[121.44000244140625, 175.5594940185547, 314.26783752441406, 183.1074981689453]",8.0
PRC: 5.00,7,//Document/Table[9]/TR[20]/TD[3]/P[5],"[121.44000244140625, 166.9394989013672, 158.59986877441406, 174.42750549316406]",8.0
100.2000,7,//Document/Table[9]/TR[20]/TD[4]/P,"[389.52110290527344, 201.43899536132812, 422.75999450683594, 208.927001953125]",8.0
103.1413,7,//Document/Table[9]/TR[20]/TD[5]/P/Sub,"[448.32000732421875, 201.3961944580078, 481.73492431640625, 208.8842010498047]",8.0
29.05.2025,7,//Document/Table[9]/TR[20]/TD[5]/P/Sub[2],"[441.7519989013672, 184.34820556640625, 480.9689178466797, 191.83619689941406]",8.0
3.14%,7,//Document/Table[9]/TR[20]/TD[6]/P,"[507.6000061035156, 191.4761962890625, 530.8622131347656, 218.356201171875]",8.0
2.94%,7,//Document/Table[9]/TR[20]/TD[7]/P,"[566.1600036621094, 191.460205078125, 589.2797546386719, 218.34019470214844]",8.0
103'735,7,//Document/Table[9]/TR[20]/TD[8]/P,"[660.9600067138672, 201.38819885253906, 689.5663299560547, 208.87620544433594]",8.0
594,7,//Document/Table[9]/TR[20]/TD[8]/P[2],"[674.6399993896484, 192.74819946289062, 689.0192718505859, 200.2362060546875]",8.0
0.53%,7,//Document/Table[9]/TR[20]/TD[9]/P,"[707.0480041503906, 201.38819885253906, 730.1726379394531, 208.87620544433594]",8.0
USD,7,//Document/Table[9]/TR[21]/TD/P,"[36.24000549316406, 154.45950317382812, 54.00489807128906, 161.94749450683594]",8.0
50'000,7,//Document/Table[9]/TR[21]/TD[2]/P,"[93.1199951171875, 154.33949279785156, 117.5850830078125, 161.82749938964844]",8.0
CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024-,7,//Document/Table[9]/TR[21]/TD[3]/P,"[121.44000244140625, 144.5146026611328, 329.44793701171875, 171.45950317382812]",8.0
09.05.34,7,//Document/Table[9]/TR[21]/TD[3]/P[2],"[121.68800354003906, 136.21859741210938, 152.54542541503906, 163.09860229492188]",8.0
ISIN: XS2782869916 II Valorn.: 132544344,7,//Document/Table[9]/TR[21]/TD[3]/P[3],"[121.67999267578125, 136.51600646972656, 272.5838165283203, 144.1226043701172]",8.0
Ordinary Bonds II Maturity: 09.05.2034,7,//Document/Table[9]/TR[21]/TD[3]/P[4],"[121.44000244140625, 127.99029541015625, 257.27850341796875, 135.53829956054688]",8.0
PRC: 5.00,7,//Document/Table[9]/TR[21]/TD[3]/P[5],"[121.44000244140625, 119.41830444335938, 158.46414184570312, 126.90629577636719]",8.0
Price to be verified,7,//Document/Table[9]/TR[21]/TD[3]/P[6],"[121.44000244140625, 110.65029907226562, 186.30264282226562, 118.1383056640625]",8.0
100.2000,7,//Document/Table[9]/TR[21]/TD[4]/P,"[389.52110290527344, 154.43899536132812, 422.77366638183594, 161.927001953125]",8.0
97.1330,7,//Document/Table[9]/TR[21]/TD[5]/P,"[452.07200622558594, 154.34820556640625, 481.14256286621094, 161.83619689941406]",8.0
30.05.2025,7,//Document/Table[9]/TR[21]/TD[5]/P[2],"[441.47999572753906, 137.49220275878906, 481.49720764160156, 144.98019409179688]",8.0
0.86%,7,//Document/Table[9]/TR[21]/TD[6]/P,"[507.6080017089844, 144.38819885253906, 530.8913269042969, 171.26820373535156]",8.0
-3.06%,7,//Document/Table[9]/TR[21]/TD[7]/P,"[563.7680053710938, 144.38819885253906, 589.5765991210938, 171.26820373535156]",8.0
48'567,7,//Document/Table[9]/TR[21]/TD[8]/P,"[664.3280029296875, 154.38819885253906, 688.9150390625, 161.87620544433594]",8.0
0.25%,7,//Document/Table[9]/TR[21]/TD[9]/P,"[707.0480041503906, 154.42820739746094, 730.2127990722656, 161.91619873046875]",8.0
Currency,8,//Document/Table[9]/TR[22]/TH/P,"[36.0, 490.697998046875, 66.046142578125, 497.16600036621094]",6.0
Nominal/,8,//Document/Table[9]/TR[22]/TH[2]/P,"[88.32000732421875, 490.697998046875, 117.13870239257812, 497.16600036621094]",6.0
Quantity,8,//Document/Table[9]/TR[22]/TH[2]/P[2],"[89.52000427246094, 483.0780029296875, 117.73179626464844, 489.54600524902344]",6.0
Description,8,//Document/Table[9]/TR[22]/TH[3]/P,"[121.44000244140625, 490.697998046875, 158.35305786132812, 497.16600036621094]",6.0
Average Acquisition price Average Acquisition FX Rate,8,//Document/Table[9]/TR[22]/TH[4]/P,"[332.1600036621094, 483.0780029296875, 422.6138000488281, 497.2259979248047]",6.0
Actual Price,8,//Document/Table[9]/TR[22]/TH[5]/P,"[441.6000061035156, 490.75799560546875, 481.09210205078125, 497.2259979248047]",6.0
Actual Ex. Rate Price Date,8,//Document/Table[9]/TR[22]/TH[5]/P[2],"[431.75999450683594, 475.4976043701172, 480.98118591308594, 489.54600524902344]",6.0
Perf YTD,8,//Document/Table[9]/TR[22]/TH[6]/P,"[501.6000061035156, 490.75799560546875, 530.4553070068359, 497.2259979248047]",6.0
Perf Total,8,//Document/Table[9]/TR[22]/TH[7]/P,"[558.2400054931641, 490.697998046875, 588.8998565673828, 497.16600036621094]",6.0
Perf Market Perf Currency,8,//Document/Table[9]/TR[22]/TH[7]/P[2],"[544.8000030517578, 475.5155944824219, 589.8741912841797, 489.54600524902344]",6.0
Valuation in price currency,8,//Document/Table[9]/TR[22]/TH[8]/P,"[604.0800018310547, 490.697998046875, 689.3559875488281, 497.16600036621094]",6.0
Thereof accruals Countervalue USO,8,//Document/Table[9]/TR[22]/TH[8]/P[2],"[630.2400054931641, 475.5935974121094, 689.0384521484375, 489.54600524902344]",6.0
in % of assets,8,//Document/Table[9]/TR[22]/TH[9]/P,"[700.3200073242188, 483.0780029296875, 729.7565002441406, 497.2259979248047]",6.0
"Bonds, Bond funds, Convertible bonds, Interest options",8,//Document/Table[9]/TR[23]/TD/P,"[36.47999572753906, 458.2799987792969, 239.4752197265625, 465.4880065917969]",8.0
USD,8,//Document/Table[9]/TR[24]/TD/P,"[36.24000549316406, 436.5760040283203, 53.91835021972656, 463.45599365234375]",8.0
440'000,8,//Document/Table[9]/TR[24]/TD[2]/P,"[88.23199462890625, 436.4320068359375, 117.37261962890625, 463.31199645996094]",8.0
BOFA 5.6% 2024-29.05.34 REGS,8,//Document/Table[9]/TR[24]/TD[3]/P,"[121.44000244140625, 446.25599670410156, 238.3441925048828, 453.46400451660156]",8.0
ISIN: XS2824054402 II Valorn.: 135337661 Ordinary Bonds // Callable: 29.05.2026,8,//Document/Table[9]/TR[24]/TD[3]/P[2],"[121.19999694824219, 419.4199981689453, 272.8560333251953, 454.9360046386719]",8.0
Coupon: 29.5 II Annual 5.6% II Days: 1 II YTM: 5.76,8,//Document/Table[9]/TR[24]/TD[3]/P[3],"[121.19999694824219, 410.71600341796875, 312.27178955078125, 437.656005859375]",8.0
PRC: 5.00,8,//Document/Table[9]/TR[24]/TD[3]/P[4],"[121.44000244140625, 401.96400451660156, 158.32803344726562, 428.843994140625]",8.0
100.2000,8,//Document/Table[9]/TR[24]/TD[4]/P,"[389.52000427246094, 436.4949951171875, 422.66404724121094, 463.375]",8.0
98.8800,8,//Document/Table[9]/TR[24]/TD[5]/P/Sub,"[452.1060028076172, 436.51600646972656, 481.1379852294922, 463.39599609375]",8.0
30.05.2025,8,//Document/Table[9]/TR[24]/TD[5]/P/Sub[2],"[441.4259948730469, 419.46800231933594, 481.5610046386719, 446.34800720214844]",8.0
-3.19%,8,//Document/Table[9]/TR[24]/TD[6]/P,"[505.1060028076172, 446.1320037841797, 530.7699432373047, 453.3399963378906]",8.0
-1.32%,8,//Document/Table[9]/TR[24]/TD[7]/P,"[563.7619934082031, 446.2200012207031, 589.4941711425781, 453.42799377441406]",8.0
435'140,8,//Document/Table[9]/TR[24]/TD[8]/P,"[660.2420043945312, 436.57200622558594, 688.8391723632812, 463.4519958496094]",8.0
2.24%,8,//Document/Table[9]/TR[24]/TD[9]/P,"[706.9779968261719, 436.6199951171875, 729.8080749511719, 463.5]",8.0
68,8,//Document/Table[9]/TR[25]/TD/P,"[678.7220001220703, 428.1080017089844, 689.2053985595703, 454.9880065917969]",8.0
USD,8,//Document/Table[9]/TR[28]/TD/P,"[36.24000549316406, 389.5959930419922, 53.91835021972656, 416.4759979248047]",8.0
2'450'000,8,//Document/Table[9]/TR[28]/TD[2]/P,"[82.84800720214844, 389.6600036621094, 117.73570251464844, 416.5399932861328]",8.0
GS 10Y CALLABLE NOTE 2024-18.06.2034,8,//Document/Table[9]/TR[28]/TD[3]/P,"[121.19999694824219, 399.30799865722656, 274.0103302001953, 406.51600646972656]",8.0
ISIN: XS2567543397 // Valorn.: 134736192,8,//Document/Table[9]/TR[28]/TD[3]/P[2],"[121.67999267578125, 381.02000427246094, 272.9041290283203, 407.8999938964844]",8.0
Ordinary Bonds II Callable: 18.06.2026,8,//Document/Table[9]/TR[28]/TD[3]/P[3]/Sub,"[121.44000244140625, 372.3240051269531, 258.2565612792969, 399.25599670410156]",8.0
Coupon: 18.6 II Annual 5.61% II Days: 342 II YTM: 5.51,8,//Document/Table[9]/TR[28]/TD[3]/P[3]/Sub[2],"[121.44000244140625, 363.547607421875, 324.7960968017578, 390.60760498046875]",8.0
PRC: 5.00,8,//Document/Table[9]/TR[28]/TD[3]/P[4],"[121.44000244140625, 355.09959411621094, 158.18008422851562, 381.97959899902344]",8.0
100.1000,8,//Document/Table[9]/TR[28]/TD[4]/P,"[389.52000427246094, 389.6549987792969, 422.65513610839844, 416.5350036621094]",8.0
100.6700,8,//Document/Table[9]/TR[28]/TD[5]/P,"[448.32200622558594, 389.6439971923828, 481.75193786621094, 416.5240020751953]",8.0
30.05.2025,8,//Document/Table[9]/TR[28]/TD[5]/P[2],"[441.46600341796875, 372.61199951171875, 481.51239013671875, 399.49200439453125]",8.0
1.41%,8,//Document/Table[9]/TR[28]/TD[6]/P,"[507.8419952392578, 399.1719970703125, 531.3856964111328, 406.3800048828125]",8.0
0.57%,8,//Document/Table[9]/TR[28]/TD[7]/P,"[566.1620025634766, 399.2359924316406, 589.5492095947266, 406.4440002441406]",8.0
2'596'988,8,//Document/Table[9]/TR[28]/TD[8]/P,"[654.7220001220703, 389.65199279785156, 689.0506134033203, 416.53199768066406]",8.0
130'573,8,//Document/Table[9]/TR[28]/TD[8]/P[2],"[660.9620056152344, 381.0119934082031, 689.7011413574219, 407.8919982910156]",8.0
13.35%,8,//Document/Table[9]/TR[28]/TD[9]/P,"[703.1940002441406, 389.58799743652344, 730.5664367675781, 416.46800231933594]",8.0
USD,8,//Document/Table[9]/TR[33]/TD/P,"[36.24000549316406, 342.68359375, 53.91835021972656, 369.5635986328125]",8.0
1'100'000,8,//Document/Table[9]/TR[33]/TD[2]/P,"[83.36000061035156, 342.6195983886719, 118.19972229003906, 369.4996032714844]",8.0
CITIGROUP 0% MTN 2024-09.07.34 REGS,8,//Document/Table[9]/TR[33]/TD[3]/P,"[121.44000244140625, 352.339599609375, 271.22418212890625, 359.547607421875]",8.0
ISIN: XS2110079584 II Valorn.: 136429245 Zero Bonds II Callable: 09.07.2026,8,//Document/Table[9]/TR[33]/TD[3]/P[2],"[121.19999694824219, 325.4176025390625, 272.1600036621094, 361.09959411621094]",8.0
YTM: 6.09 II PRC: 5.00,8,//Document/Table[9]/TR[33]/TD[3]/P[3],"[120.96000671386719, 316.9360046386719, 205.87998962402344, 343.8175964355469]",8.0
100.1000,8,//Document/Table[9]/TR[33]/TD[4]/P,"[389.52000427246094, 342.71099853515625, 422.63243103027344, 369.59100341796875]",8.0
99.2500,8,//Document/Table[9]/TR[33]/TD[5]/P/Sub,"[451.9219970703125, 342.6679992675781, 481.3809814453125, 369.5480041503906]",8.0
30.05.2025,8,//Document/Table[9]/TR[33]/TD[5]/P/Sub[2],"[441.6020050048828, 325.69200134277344, 481.3046417236328, 352.57200622558594]",8.0
0.64%,8,//Document/Table[9]/TR[33]/TD[6]/P,"[507.49000549316406, 352.3159942626953, 530.9041900634766, 359.5240020751953]",8.0
-0.85%,8,//Document/Table[9]/TR[33]/TD[7]/P,"[563.7619934082031, 352.3159942626953, 589.4726867675781, 359.5240020751953]",8.0
1'091'750,8,//Document/Table[9]/TR[33]/TD[8]/P,"[655.4019927978516, 342.65199279785156, 689.3624420166016, 369.53199768066406]",8.0
5.61%,8,//Document/Table[9]/TR[33]/TD[9]/P,"[707.0339965820312, 342.6280059814453, 730.1282348632812, 369.50799560546875]",8.0
USD,8,//Document/Table[9]/TR[35]/TD/P,"[36.24000549316406, 304.33599853515625, 53.91835021972656, 331.21600341796875]",8.0
90'000,8,//Document/Table[9]/TR[35]/TD[2]/P,"[92.93600463867188, 304.3999938964844, 117.83895874023438, 331.2799987792969]",8.0
CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34 GLOBAL RE,8,//Document/Table[9]/TR[35]/TD[3]/P,"[121.44000244140625, 304.0959930419922, 338.61631774902344, 330.9759979248047]",8.0
ISIN: XS2848820754 II Valorn.: 135116008 Zero Bonds II Maturity: 01.08.2034,8,//Document/Table[9]/TR[35]/TD[3]/P[2],"[121.19999694824219, 277.5760040283203, 272.4960021972656, 313.22560119628906]",8.0
PRC: 5.00,8,//Document/Table[9]/TR[35]/TD[3]/P[3],"[121.44000244140625, 268.94000244140625, 158.33999633789062, 295.82000732421875]",8.0
100.2000,8,//Document/Table[9]/TR[35]/TD[4]/P,"[389.52000427246094, 304.39100646972656, 422.63670349121094, 331.27099609375]",8.0
99.8200,8,//Document/Table[9]/TR[35]/TD[5]/P,"[452.0500030517578, 304.38800048828125, 481.1951446533203, 331.26800537109375]",8.0
30.05.2025,8,//Document/Table[9]/TR[35]/TD[5]/P[2],"[441.6020050048828, 287.2200012207031, 481.3046417236328, 314.1000061035156]",8.0
2.11%,8,//Document/Table[9]/TR[35]/TD[6]/P,"[507.5299987792969, 313.9720001220703, 530.7808532714844, 321.17999267578125]",8.0
-0.38%,8,//Document/Table[9]/TR[35]/TD[7]/P,"[563.7619934082031, 313.9080047607422, 589.4678039550781, 321.1159973144531]",8.0
89'838,8,//Document/Table[9]/TR[35]/TD[8]/P,"[664.7539978027344, 304.3800048828125, 688.8414001464844, 331.25999450683594]",8.0
0.46%,8,//Document/Table[9]/TR[35]/TD[9]/P,"[707.0339965820312, 304.3800048828125, 730.1937866210938, 331.25999450683594]",8.0
USD,8,//Document/Table[9]/TR[36]/TD/P,"[36.24000549316406, 256.51600646972656, 53.91835021972656, 283.39599609375]",8.0
100'000,8,//Document/Table[9]/TR[36]/TD[2]/P,"[89.07200622558594, 256.51600646972656, 118.24461364746094, 283.39599609375]",8.0
GOLDMAN SACHS EMTN 2024-30.09.2024,8,//Document/Table[9]/TR[36]/TD[3]/P,"[121.14399719238281, 266.1000061035156, 272.8038635253906, 273.30799865722656]",8.0
ISIN: XS2829712830 II Valorn.: 134735316 Ordinary Bonds II Maturity: 30.09.2034,8,//Document/Table[9]/TR[36]/TD[3]/P[2],"[121.44000244140625, 239.35409545898438, 272.7919464111328, 274.8901062011719]",8.0
YTM: 5.80 II PRC: 5.00,8,//Document/Table[9]/TR[36]/TD[3]/P[3],"[120.96000671386719, 230.7760009765625, 206.09999084472656, 257.71600341796875]",8.0
99.9996,8,//Document/Table[9]/TR[36]/TD[4]/P,"[393.2480010986328, 256.5429992675781, 422.3374786376953, 283.4230041503906]",8.0
91.8300,8,//Document/Table[9]/TR[36]/TD[5]/P,"[452.0899963378906, 256.5, 481.1631164550781, 283.3800048828125]",8.0
30.05.2025,8,//Document/Table[9]/TR[36]/TD[5]/P[2],"[441.6020050048828, 239.63600158691406, 481.3046417236328, 266.51600646972656]",8.0
0.62%,8,//Document/Table[9]/TR[36]/TD[6]/P,"[507.6020050048828, 266.20399475097656, 531.0515899658203, 273.41200256347656]",8.0
-8.17%,8,//Document/Table[9]/TR[36]/TD[7]/P,"[563.7619934082031, 266.1239929199219, 589.5188293457031, 273.3320007324219]",8.0
91'830,8,//Document/Table[9]/TR[36]/TD[8]/P,"[664.802001953125, 256.5, 689.2130126953125, 283.3800048828125]",8.0
0.47%,8,//Document/Table[9]/TR[36]/TD[9]/P,"[707.0339965820312, 256.5, 730.1715698242188, 283.3800048828125]",8.0
USD,8,//Document/Table[9]/TR[37]/TD/P,"[36.24000549316406, 218.3000030517578, 53.91835021972656, 245.17999267578125]",8.0
200'000,8,//Document/Table[9]/TR[37]/TD[2]/P,"[88.58399963378906, 218.3000030517578, 117.74855041503906, 245.17999267578125]",8.0
BANK OF AMERICA 0% NOTES 2024-17.10.2034,8,//Document/Table[9]/TR[37]/TD[3]/P,"[121.44000244140625, 227.8280029296875, 294.1938934326172, 235.03599548339844]",8.0
ISIN: XS2912278723 // Valorn.: 138689613 Zero Bonds II Maturity: 17.10.2034,8,//Document/Table[9]/TR[37]/TD[3]/P[2],"[121.19999694824219, 200.9720001220703, 272.9439239501953, 236.54800415039062]",8.0
YTM: 5.66 II PRC: 5.00,8,//Document/Table[9]/TR[37]/TD[3]/P[3],"[120.96000671386719, 192.13600158691406, 205.87998962402344, 219.13600158691406]",8.0
100.2000,8,//Document/Table[9]/TR[37]/TD[4]/P,"[389.52000427246094, 218.2949981689453, 422.65940856933594, 245.1750030517578]",8.0
93.0798,8,//Document/Table[9]/TR[37]/TD[5]/P,"[451.9219970703125, 218.2760009765625, 481.36328125, 245.156005859375]",8.0
29.05.2025,8,//Document/Table[9]/TR[37]/TD[5]/P[2],"[441.6020050048828, 201.24400329589844, 481.1875762939453, 228.12399291992188]",8.0
-4.72%,8,//Document/Table[9]/TR[37]/TD[6]/P,"[505.2019958496094, 227.8040008544922, 530.9390563964844, 235.01199340820312]",8.0
-7.11%,8,//Document/Table[9]/TR[37]/TD[7]/P,"[563.7619934082031, 227.8679962158203, 589.5354309082031, 235.0760040283203]",8.0
186'160,8,//Document/Table[9]/TR[37]/TD[8]/P,"[660.9620056152344, 218.28399658203125, 689.5749206542969, 245.16400146484375]",8.0
0.96%,8,//Document/Table[9]/TR[37]/TD[9]/P,"[707.0339965820312, 218.2760009765625, 730.2101440429688, 245.156005859375]",8.0
USD,8,//Document/Table[9]/TR[38]/TD/P,"[36.47999572753906, 179.71600341796875, 53.67835998535156, 206.5959930419922]",8.0
100'000,8,//Document/Table[9]/TR[38]/TD[2]/P,"[89.4320068359375, 179.69200134277344, 117.6446533203125, 206.57200622558594]",8.0
JPMORGAN CHASE O % NOTES 2024-29.10.34 SERIES 2021-,8,//Document/Table[9]/TR[38]/TD[3]/P,"[121.19999694824219, 179.50390625, 340.439697265625, 206.38389587402344]",8.0
37954,8,//Document/Table[9]/TR[38]/TD[3]/P[2],"[121.27200317382812, 180.7279052734375, 144.44448852539062, 187.93589782714844]",8.0
ISIN: XS2381723902 II Valorn.: 128883231,8,//Document/Table[9]/TR[38]/TD[3]/P[3],"[121.67999267578125, 161.80360412597656, 272.9042510986328, 188.743896484375]",8.0
Zero Bonds II Maturity: 29.10.2034,8,//Document/Table[9]/TR[38]/TD[3]/P[4],"[121.19999694824219, 153.1156005859375, 243.86976623535156, 179.9989013671875]",8.0
PRC: 5.00,8,//Document/Table[9]/TR[38]/TD[3]/P[5],"[121.44000244140625, 144.43890380859375, 158.31607055664062, 171.3188934326172]",8.0
100.2000,8,//Document/Table[9]/TR[38]/TD[4]/P,"[389.52000427246094, 179.79100036621094, 422.66404724121094, 206.67100524902344]",8.0
94.2538,8,//Document/Table[9]/TR[38]/TD[5]/P,"[452.0500030517578, 179.6999969482422, 481.1347198486328, 206.5800018310547]",8.0
30.05.2025,8,//Document/Table[9]/TR[38]/TD[5]/P[2],"[441.6020050048828, 162.5959930419922, 481.3046417236328, 189.4759979248047]",8.0
-0.81%,8,//Document/Table[9]/TR[38]/TD[6]/P,"[505.2019958496094, 189.28399658203125, 531.0621032714844, 196.49200439453125]",8.0
-5.93%,8,//Document/Table[9]/TR[38]/TD[7]/P,"[563.7619934082031, 189.30799865722656, 589.5759582519531, 196.51600646972656]",8.0
94'254,8,//Document/Table[9]/TR[38]/TD[8]/P,"[664.802001953125, 179.76400756835938, 689.20751953125, 206.6439971923828]",8.0
0.48%,8,//Document/Table[9]/TR[38]/TD[9]/P,"[707.0339965820312, 179.69200134277344, 730.1893920898438, 206.57200622558594]",8.0
USD,8,//Document/Table[9]/TR[39]/TD/P,"[36.24000549316406, 132.07090759277344, 53.91835021972656, 158.95089721679688]",8.0
250'000,8,//Document/Table[9]/TR[39]/TD[2]/P,"[88.80000305175781, 132.13490295410156, 117.35505676269531, 159.014892578125]",8.0
GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024-,8,//Document/Table[9]/TR[39]/TD[3]/P,"[121.44000244140625, 141.78289794921875, 331.22802734375, 148.99090576171875]",8.0
18.11.2034,8,//Document/Table[9]/TR[39]/TD[3]/P[2],"[121.44000244140625, 133.1269073486328, 161.34613037109375, 140.33489990234375]",8.0
ISIN: XS2829752976 II Valorn.: 138874416 Ordinary Bonds II Maturity: 18.11.2034,8,//Document/Table[9]/TR[39]/TD[3]/P[3],"[121.44000244140625, 105.43600463867188, 272.8236846923828, 141.0760040283203]",8.0
YTM: 5.73 II PRC: 5.00,8,//Document/Table[9]/TR[39]/TD[3]/P[4],"[120.96000671386719, 96.85600280761719, 206.09999084472656, 123.79600524902344]",8.0
99.6790,8,//Document/Table[9]/TR[39]/TD[4]/P,"[393.1199951171875, 132.0709991455078, 422.2833251953125, 158.9510040283203]",8.0
97.0700,8,//Document/Table[9]/TR[39]/TD[5]/P,"[452.1060028076172, 132.05999755859375, 481.1392059326172, 158.94000244140625]",8.0
30.05.2025,8,//Document/Table[9]/TR[39]/TD[5]/P[2],"[441.802001953125, 115.07600402832031, 481.0118408203125, 141.95599365234375]",8.0
0.98%,8,//Document/Table[9]/TR[39]/TD[6]/P,"[507.5220031738281, 141.6439971923828, 530.8048400878906, 148.8520050048828]",8.0
-2.62%,8,//Document/Table[9]/TR[39]/TD[7]/P,"[563.7619934082031, 141.6439971923828, 589.4507141113281, 148.8520050048828]",8.0
242'675,8,//Document/Table[9]/TR[39]/TD[8]/P,"[660.4819946289062, 132.05999755859375, 688.7247924804688, 158.94000244140625]",8.0
1.25%,8,//Document/Table[9]/TR[39]/TD[9]/P,"[707.5140075683594, 132.01199340820312, 730.5318298339844, 158.89199829101562]",8.0
Currency,9,//Document/Table[9]/TR[40]/TH/P,"[36.0, 490.697998046875, 66.05209350585938, 497.16600036621094]",6.0
Nominal/,9,//Document/Table[9]/TR[40]/TH[2]/P,"[88.32000732421875, 490.697998046875, 117.13870239257812, 497.16600036621094]",6.0
Quantity,9,//Document/Table[9]/TR[40]/TH[2]/P[2],"[89.64540100097656, 483.0780029296875, 117.53337097167969, 489.54600524902344]",6.0
Average,9,//Document/Table[9]/TR[40]/TH[3]/P,"[332.1593933105469, 483.0780029296875, 359.0321350097656, 489.54600524902344]",6.0
Description,9,//Document/Table[9]/TR[40]/TH[3]/P[2],"[121.44000244140625, 490.697998046875, 158.35305786132812, 497.16600036621094]",6.0
Average Acquisition price Acquisition FX Rate,9,//Document/Table[9]/TR[40]/TH[4]/P,"[341.0399932861328, 483.0780029296875, 422.6138000488281, 497.2259979248047]",6.0
Actual Price,9,//Document/Table[9]/TR[40]/TH[5]/P,"[441.6000061035156, 490.75799560546875, 481.09210205078125, 497.2259979248047]",6.0
Actual Ex. Rate Price Date,9,//Document/Table[9]/TR[40]/TH[5]/P[2],"[431.7593994140625, 475.4976043701172, 480.71636962890625, 489.54600524902344]",6.0
Perf YTD,9,//Document/Table[9]/TR[40]/TH[6]/P,"[501.6000061035156, 490.75799560546875, 530.4553070068359, 497.2259979248047]",6.0
Perf Total,9,//Document/Table[9]/TR[40]/TH[7]/P,"[558.2400054931641, 490.697998046875, 588.8998565673828, 497.16600036621094]",6.0
Perf Market Perf Currency,9,//Document/Table[9]/TR[40]/TH[7]/P[2],"[544.8000030517578, 475.5155944824219, 589.8802337646484, 489.54600524902344]",6.0
Valuation in price currency,9,//Document/Table[9]/TR[40]/TH[8]/P,"[604.0800018310547, 490.697998046875, 689.3559875488281, 497.16600036621094]",6.0
Thereof accruals Countervalue USO,9,//Document/Table[9]/TR[40]/TH[8]/P[2],"[630.2400054931641, 475.5935974121094, 689.0378570556641, 489.54600524902344]",6.0
in % of assets,9,//Document/Table[9]/TR[40]/TH[9]/P,"[700.3193969726562, 483.0780029296875, 729.7559051513672, 497.2259979248047]",6.0
"Bonds, Bond funds, Convertible bonds, Interest options",9,//Document/Table[9]/TR[41]/TD/P,"[36.47999572753906, 448.45599365234375, 239.0672607421875, 475.33599853515625]",8.0
0.74%,9,//Document/Table[9]/TR[41]/TD[2]/P,"[707.0377960205078, 446.1947937011719, 730.1579132080078, 453.64280700683594]",8.0
USD,9,//Document/Table[9]/TR[42]/TD/P,"[36.24000549316406, 446.29600524902344, 53.79823303222656, 453.74400329589844]",8.0
150'000,9,//Document/Table[9]/TR[42]/TD[2]/P,"[89.27999877929688, 446.1439971923828, 117.44003295898438, 453.5919952392578]",8.0
BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S,9,//Document/Table[9]/TR[42]/TD[3]/P,"[121.44000244140625, 436.364501953125, 313.0673370361328, 463.3679962158203]",8.0
ISIN: XS2953741100 II Valom.: 138494467,9,//Document/Table[9]/TR[42]/TD[3]/P[2],"[121.67999267578125, 437.7120056152344, 271.9439697265625, 445.1600036621094]",8.0
Zero Bonds II Maturity: 11.12.2034,9,//Document/Table[9]/TR[42]/TD[3]/P[3],"[121.19999694824219, 429.07200622558594, 244.04798889160156, 436.5800018310547]",8.0
YTM: 5.55 II PRC: 5.00,9,//Document/Table[9]/TR[42]/TD[3]/P[4],"[120.96000671386719, 420.3719940185547, 205.88795471191406, 427.8800048828125]",8.0
99.1980,9,//Document/Table[9]/TR[42]/TD[4]/P,"[393.1199951171875, 446.1719970703125, 422.2513427734375, 453.6199951171875]",8.0
96.2100,9,//Document/Table[9]/TR[42]/TD[5]/P/Sub,"[452.0538024902344, 446.2187957763672, 481.1497497558594, 453.6667938232422]",8.0
26.05.2025,9,//Document/Table[9]/TR[42]/TD[5]/P/Sub[2],"[441.59779357910156, 429.1947937011719, 481.08448791503906, 436.64280700683594]",8.0
0.29%,9,//Document/Table[9]/TR[42]/TD[6]/P,"[507.59779357910156, 436.35479736328125, 531.0554351806641, 463.23480224609375]",8.0
-3.01%,9,//Document/Table[9]/TR[42]/TD[7]/P,"[563.7577972412109, 436.3708038330078, 589.5182952880859, 463.25079345703125]",8.0
144'315,9,//Document/Table[9]/TR[42]/TD[8]/P,"[660.789794921875, 446.23480224609375, 689.7286376953125, 453.68280029296875]",8.0
USD,9,//Document/Table[9]/TR[44]/TD/P,"[36.24000549316406, 407.89599609375, 53.79823303222656, 415.343994140625]",8.0
500'000,9,//Document/Table[9]/TR[44]/TD[2]/P,"[89.03999328613281, 407.7760009765625, 117.35212707519531, 415.2239990234375]",8.0
